"","Reef","Block","Treatment","Transect","Distance","Core","agweight","bgweight","corebladeaream2","shootsm2","corebladeweightm2","coreprodweight","bgprod"
"262","YM4C",4,"C",2,20,3,110.28,737.79,929860,1200,43.09,1.00192146172927,1.80382854673506
"263","YM4C",4,"C",3,1,1,326.88,322.48,4680975,1100,169.21,3.42710535647692,3.05944395390764
"264","YM4C",4,"C",3,1,2,256.31,216.84,3732650,700,147.12,3.64457801899649,3.43301151110498
"265","YM4C",4,"C",3,1,3,250.33,408.44,3435875,1400,131.58,4.90592825008712,2.81186853431972
"266","YM4C",4,"C",3,20,1,95.05,308.44,600025,500,31.82,1.2662124478785,1.95758088043863
"267","YM4C",4,"C",3,20,2,62.24,122.84,537925,300,26.94,0.422385931558935,1.41994365009164
"268","YM4C",4,"C",3,20,3,46.74,90.57,403575,300,17.47,0.364571411777833,1.31394496421965
"269","YM4D",4,"D",1,1,1,238.14,337.52,3045800,1100,116.5,2.34607131878179,3.01218391786865
"270","YM4D",4,"D",1,1,2,147.62,136.99,1698450,500,67.62,1.89640831009779,3.74315225248139
"271","YM4D",4,"D",1,1,3,282.44,647.75,3044275,900,130.24,2.8346567632028,2.34156273675283
"272","YM4D",4,"D",1,20,1,209.06,1064.48,1003425,1400,49.53,1.1745676539711,1.15939389867233
"273","YM4D",4,"D",1,20,2,130.01,715.74,814450,1000,41.64,0.786472328595492,1.84347340998884
"274","YM4D",4,"D",1,20,3,160.23,786.24,850275,1300,41.63,1.05611738448812,1.71935025643823
"275","YM4D",4,"D",2,1,1,238.27,129.08,3966950,500,157.08,3.57943212510825,3.7742213015382
"276","YM4D",4,"D",2,1,2,208.63,304.98,2447850,900,101.94,2.90810842372113,3.11650733573989
"277","YM4D",4,"D",2,1,3,301.96,350.62,4750900,1300,178.78,4.28698075686481,2.97237451906084
"278","YM4D",4,"D",2,20,1,173.28,860.06,1524025,1600,73.34,1.5968972822316,1.60041897827792
"279","YM4D",4,"D",2,20,2,165.4,697.16,916975,1300,43.92,0.8406007845111,1.87696422475464
"280","YM4D",4,"D",2,20,3,281.92,842.75,2260625,1400,108.57,2.14103894511145,1.62753584285931
"281","YM4D",4,"D",3,1,1,166.24,325.7,2166250,700,89.93,2.2108841702054,3.04918633515162
"282","YM4D",4,"D",3,1,2,406.86,523.12,5562550,1800,223.7,5.09117964117001,2.56036663291167
"283","YM4D",4,"D",3,1,3,174.76,209.13,2791250,800,96.62,2.682377825951,3.46241152858916
"284","YM4D",4,"D",3,20,1,159.39,734.69,1140025,1100,57.56,1.19994206526996,1.80937558767335
"285","YM4D",4,"D",3,20,2,131.2,581.05,934550,1100,42.74,0.929808357359991,2.06035589387326
"286","YM4D",4,"D",3,20,3,232.78,744.54,1651700,1500,80.26,2.15589273266883,1.79179459341805
"287","YM4A",4,"A",1,20,3,110.3,636.63,860600,500,42.76,0.903799905095486,1.98128426978936
"288","YM4B",4,"B",1,1,3,193.01,614.22,1839750,1000,93.86,2.07133927534738,2.39847971368505
